Sites,Number_of_files
IPA1ST,429
IPA2LT,807
IPA3ST,429
IPA4ST,428
IPA5LT,807
IPA6ST,427
IPA7ST,428
IPA8ST,425
IPA9LT,144
IPA10ST,427
IPA11ST,307
IPA13ST,432
IPA14ST,431
IPA15ST,430
IPA16ST,368
IPA17ST,353
IPA18ST,500
IPA19ST,290
IPA20ST,430
TBNI1ST,390
TBNI2LT,807
TBNI3ST,379
TBNI4ST,378
TBNI6ST,371
TBNI7LT,195
TBNI9LT,238
TBNI10ST,374
TBNI12ST,372
TBNI14ST,375
TBNI15ST,375
TBNI16LT,193
TBNI17ST,380
TBNI18LT,193
TBNI19ST,380
TBNI20ST,382
TBNI21ST,328
TBNI22ST,317
TBNI23ST,360
TBNI24ST,376
TBNI25ST,375
CF1ST,385
CF2LT,376
CF3ST,379
CF4LT,807
CF5ST,383
CF6LT,170
CF7ST,382
CF8LT,164
CF9ST,381
CF10LT,145
CF11ST,378
CF12LT,807
ROG4,384
ROG5,380
ROG6,381
ROG7,380
ROG8,376
ROG9,333
ROG10,371
ROG11,432
ROG12,344
ROG13,341
ROG14,343
ROG15,340